,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Boston, MA, United States",2025-06-25,33.8,22.8,27.8,36.8,22.8,29.3,19.9,62.7,0.0,24,0.0,,0,0,29.5,21.9,342.4,1014.8,32.5,16.1,556.9,48.2,9,30,2025-06-25T05:08:51,2025-06-25T20:25:11,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,KLWM,KBED,0518W,KBOS,KGHG,KBVY"
1,"Boston, MA, United States",2025-06-26,22.3,16.7,18.6,22.3,16.7,18.6,13.3,71.6,0.1,27,4.17,rain,0,0,29.5,20.5,58.2,1021.5,80.0,16.3,159.1,13.7,7,10,2025-06-26T05:09:13,2025-06-26T20:25:13,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
2,"Boston, MA, United States",2025-06-27,18.0,16.7,17.2,18.0,16.7,17.2,12.9,75.6,3.6,24,4.17,rain,0,0,24.1,14.8,93.3,1022.8,78.9,16.3,183.0,15.7,5,10,2025-06-27T05:09:37,2025-06-27T20:25:13,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
3,"Boston, MA, United States",2025-06-28,19.5,16.9,18.1,19.5,16.9,18.1,15.0,81.8,3.1,54,12.5,rain,0,0,27.0,15.8,81.5,1020.2,84.7,9.2,67.9,6.0,2,10,2025-06-28T05:10:02,2025-06-28T20:25:10,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,
4,"Boston, MA, United States",2025-06-29,21.2,18.3,19.8,21.2,18.3,19.8,16.1,79.5,1.5,51,8.33,rain,0,0,21.6,13.3,51.8,1020.5,72.8,6.4,33.6,2.6,1,10,2025-06-29T05:10:30,2025-06-29T20:25:06,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
5,"Boston, MA, United States",2025-06-30,25.6,19.0,22.2,25.6,19.0,22.2,17.7,75.7,0.0,17,0.0,,0,0,23.4,13.7,124.8,1018.2,54.9,24.1,299.7,25.8,7,10,2025-06-30T05:10:59,2025-06-30T20:24:59,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
6,"Boston, MA, United States",2025-07-01,29.3,21.4,25.5,31.3,21.4,26.3,20.1,72.6,0.2,49,4.17,rain,0,0,32.0,18.4,214.1,1011.8,58.3,24.1,288.3,24.9,7,30,2025-07-01T05:11:29,2025-07-01T20:24:51,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
7,"Boston, MA, United States",2025-07-02,29.0,23.4,26.0,29.2,23.4,26.2,18.1,62.9,0.3,47,4.17,rain,0,0,28.1,16.6,257.5,1010.3,40.5,24.1,284.3,24.7,7,10,2025-07-02T05:12:02,2025-07-02T20:24:40,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
