,datetime,description,icon
0,2025-06-02,Becoming cloudy in the afternoon.,partly-cloudy-day
1,2025-06-03,Becoming cloudy in the afternoon.,partly-cloudy-day
2,2025-06-04,Partly cloudy throughout the day.,partly-cloudy-day
3,2025-06-05,Becoming cloudy in the afternoon.,partly-cloudy-day
4,2025-06-06,Partly cloudy throughout the day.,partly-cloudy-day
5,2025-06-07,Cloudy skies throughout the day with rain.,rain
6,2025-06-08,Partly cloudy throughout the day.,partly-cloudy-day
7,2025-06-09,Cloudy skies throughout the day with rain.,rain
