,datetime,tempmin,temp,tempmax
0,2025-06-02,11.0,16.6,21.7
1,2025-06-03,13.2,17.6,21.2
2,2025-06-04,15.5,22.0,29.3
3,2025-06-05,17.1,24.6,30.7
4,2025-06-06,16.3,21.6,26.6
5,2025-06-07,16.8,18.2,19.4
6,2025-06-08,14.4,17.0,19.4
7,2025-06-09,13.4,14.4,15.1
