,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Boston, MA, United States",2025-06-02,21.7,11.0,16.6,21.7,11.0,16.6,5.9,50.9,0.0,0,0.0,,0,0,49.6,23.8,246.0,1012.7,66.9,16.0,625.2,53.9,8,,2025-06-02T05:09:32,2025-06-02T20:15:36,0.25,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
1,"Boston, MA, United States",2025-06-03,21.2,13.2,17.6,21.2,13.2,17.6,8.0,54.5,0.0,0,0.0,,0,0,22.3,25.2,95.0,1019.2,43.1,16.0,687.6,59.6,9,,2025-06-03T05:09:07,2025-06-03T20:16:19,0.25,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
2,"Boston, MA, United States",2025-06-04,29.3,15.5,22.0,28.3,15.5,21.8,10.3,48.8,0.0,0,0.0,,0,0,44.5,27.5,217.5,1020.5,68.3,16.0,570.7,49.1,8,,2025-06-04T05:08:45,2025-06-04T20:17:01,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
3,"Boston, MA, United States",2025-06-05,30.7,17.1,24.6,32.3,17.1,25.1,16.6,62.0,0.0,0,0.0,,0,0,33.5,25.3,184.5,1014.9,34.8,15.9,589.7,50.9,7,,2025-06-05T05:08:24,2025-06-05T20:17:42,0.31,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
4,"Boston, MA, United States",2025-06-06,26.6,16.3,21.6,26.6,16.3,21.6,17.0,75.9,0.0,0,0.0,,0,0,31.7,18.2,54.7,1012.7,84.1,14.9,660.1,57.1,8,,2025-06-06T05:08:06,2025-06-06T20:18:21,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
5,"Boston, MA, United States",2025-06-07,19.4,16.8,18.2,19.4,16.8,18.2,16.7,91.5,26.327,100,25.0,rain,0,0,37.1,20.2,32.8,1008.4,95.7,11.0,576.0,49.7,8,,2025-06-07T05:07:50,2025-06-07T20:18:59,0.38,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
6,"Boston, MA, United States",2025-06-08,19.4,14.4,17.0,19.4,14.4,17.0,14.5,85.5,0.0,0,0.0,,0,0,33.5,20.4,49.1,1012.0,78.3,10.6,648.3,56.1,8,,2025-06-08T05:07:36,2025-06-08T20:19:35,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
7,"Boston, MA, United States",2025-06-09,15.1,13.4,14.4,15.1,13.4,14.4,12.9,91.1,0.296,100,8.33,rain,0,0,33.8,25.6,65.0,1015.3,98.5,7.2,523.8,45.3,8,,2025-06-09T05:07:24,2025-06-09T20:20:09,0.45,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
