,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Boston, MA, United States",2025-06-23,30.7,24.2,27.2,35.0,24.2,28.7,21.2,70.1,0.0,0,0.0,,0,0,24.1,27.2,156.8,1016.6,57.2,16.0,744.3,64.3,9,60,2025-06-23T05:08:12,2025-06-23T20:25:01,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,KBVY,72505914702,72508854733"
1,"Boston, MA, United States",2025-06-24,38.3,26.1,32.7,41.3,26.1,35.4,21.4,55.2,0.0,0,0.0,,0,0,37.0,25.6,269.0,1015.1,25.4,15.9,664.5,57.4,9,30,2025-06-24T05:08:31,2025-06-24T20:25:07,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KLWM,KBED,0518W,KBOS,KGHG,72509014739,KBVY,72508854733"
2,"Boston, MA, United States",2025-06-25,34.8,23.9,29.4,37.5,23.9,31.3,20.3,58.7,0.1,20,4.17,rain,0,0,31.7,21.9,350.4,1015.0,38.1,16.0,548.3,47.3,7,30,2025-06-25T05:08:51,2025-06-25T20:25:11,0.0,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KOWD,KLWM,KBED,0518W,KBOS,KGHG,KBVY"
3,"Boston, MA, United States",2025-06-26,22.8,16.7,19.0,22.8,16.7,19.0,13.2,69.4,3.7,34,20.83,rain,0,0,31.3,20.5,59.9,1020.8,80.7,16.3,130.9,11.3,5,10,2025-06-26T05:09:13,2025-06-26T20:25:13,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
4,"Boston, MA, United States",2025-06-27,19.0,16.7,17.5,19.0,16.7,17.5,12.8,73.8,0.1,34,4.17,rain,0,0,27.7,18.4,91.9,1023.4,80.2,16.3,132.4,11.4,4,10,2025-06-27T05:09:37,2025-06-27T20:25:13,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
5,"Boston, MA, United States",2025-06-28,19.6,17.4,18.5,19.6,17.4,18.5,15.6,83.0,3.1,66,12.5,rain,0,0,25.6,14.4,82.5,1018.5,87.1,7.8,44.8,3.8,1,10,2025-06-28T05:10:02,2025-06-28T20:25:10,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
6,"Boston, MA, United States",2025-06-29,21.0,18.5,19.7,21.0,18.5,19.7,16.3,80.6,1.5,66,8.33,rain,0,0,20.2,11.5,50.8,1020.3,72.2,22.5,71.0,5.9,2,10,2025-06-29T05:10:30,2025-06-29T20:25:06,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,
7,"Boston, MA, United States",2025-06-30,26.2,19.0,22.6,26.2,19.0,22.6,17.7,74.3,0.0,15,0.0,,0,0,23.0,13.7,127.1,1018.2,58.4,24.1,240.0,20.7,7,10,2025-06-30T05:10:59,2025-06-30T20:24:59,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
