,datetime,tempmin,temp,tempmax
0,2025-06-23,24.2,27.2,30.7
1,2025-06-24,26.1,32.7,38.3
2,2025-06-25,23.9,29.4,34.8
3,2025-06-26,16.7,19.0,22.8
4,2025-06-27,16.7,17.5,19.0
5,2025-06-28,17.4,18.5,19.6
6,2025-06-29,18.5,19.7,21.0
7,2025-06-30,19.0,22.6,26.2
