,datetime,description,icon
0,2025-06-23,Partly cloudy throughout the day.,partly-cloudy-day
1,2025-06-24,Partly cloudy throughout the day.,partly-cloudy-day
2,2025-06-25,Becoming cloudy in the afternoon.,partly-cloudy-day
3,2025-06-26,Partly cloudy throughout the day.,partly-cloudy-day
4,2025-06-27,Partly cloudy throughout the day.,partly-cloudy-day
5,2025-06-28,Partly cloudy throughout the day with a chance of rain.,rain
6,2025-06-29,Partly cloudy throughout the day with morning rain.,rain
7,2025-06-30,Partly cloudy throughout the day.,partly-cloudy-day
