,datetime,tempmin,temp,tempmax
0,2025-06-16,13.3,15.7,19.0
1,2025-06-17,15.0,17.6,20.1
2,2025-06-18,18.4,21.2,24.4
3,2025-06-19,20.0,25.6,32.8
4,2025-06-20,21.7,24.5,28.4
5,2025-06-21,18.8,22.8,26.3
6,2025-06-22,21.7,27.2,33.8
7,2025-06-23,24.3,27.2,30.7
