,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Boston, MA, United States",2025-06-16,19.0,13.3,15.7,19.0,13.3,15.7,13.5,87.1,0.0,0,0.0,,0,0,29.5,25.7,88.0,1021.9,84.4,14.3,622.3,53.7,9,10,2025-06-16T05:06:58,2025-06-16T20:23:22,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
1,"Boston, MA, United States",2025-06-17,20.1,15.0,17.6,20.1,15.0,17.6,15.9,90.0,1.291,100,16.67,rain,0,0,25.9,28.9,103.9,1018.6,89.8,15.0,413.5,35.9,8,10,2025-06-17T05:07:03,2025-06-17T20:23:42,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
2,"Boston, MA, United States",2025-06-18,24.4,18.4,21.2,24.4,18.4,21.2,19.1,88.5,0.0,0,0.0,,0,0,22.3,16.5,190.5,1013.5,95.2,15.1,677.5,58.4,8,10,2025-06-18T05:07:09,2025-06-18T20:24:00,0.75,Overcast,Cloudy skies throughout the day.,cloudy,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
3,"Boston, MA, United States",2025-06-19,32.8,20.0,25.6,36.6,20.0,26.9,20.7,76.4,0.0,0,0.0,,0,0,53.0,27.6,209.9,1007.4,68.0,15.0,567.3,49.0,9,30,2025-06-19T05:07:18,2025-06-19T20:24:16,0.8,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
4,"Boston, MA, United States",2025-06-20,28.4,21.7,24.5,27.7,21.7,24.4,14.0,54.6,0.0,0,0.0,,0,0,71.6,48.1,260.3,1005.6,36.6,16.0,585.2,50.7,9,10,2025-06-20T05:07:29,2025-06-20T20:24:30,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
5,"Boston, MA, United States",2025-06-21,26.3,18.8,22.8,26.3,18.8,22.8,13.6,57.0,0.0,0,0.0,,0,0,38.9,28.9,209.3,1017.4,44.9,16.0,536.0,46.2,8,10,2025-06-21T05:07:41,2025-06-21T20:24:43,0.87,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
6,"Boston, MA, United States",2025-06-22,33.8,21.7,27.2,36.9,21.7,28.4,19.3,63.4,0.498,100,4.17,rain,0,0,51.6,27.5,253.2,1014.3,84.2,16.0,674.3,58.2,9,60,2025-06-22T05:07:56,2025-06-22T20:24:53,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
7,"Boston, MA, United States",2025-06-23,30.7,24.3,27.2,35.0,24.3,28.7,21.2,70.1,0.0,0,0.0,,0,0,24.1,27.2,158.1,1016.6,57.3,16.0,744.3,64.3,9,60,2025-06-23T05:08:12,2025-06-23T20:25:01,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
