,datetime,description,icon
0,2025-06-25,Partly cloudy throughout the day.,partly-cloudy-day
1,2025-06-26,Partly cloudy throughout the day.,partly-cloudy-day
2,2025-06-27,Partly cloudy throughout the day.,partly-cloudy-day
3,2025-06-28,Partly cloudy throughout the day with late afternoon rain.,rain
4,2025-06-29,Partly cloudy throughout the day with a chance of rain.,rain
5,2025-06-30,Partly cloudy throughout the day.,partly-cloudy-day
6,2025-07-01,Partly cloudy throughout the day with storms possible.,rain
7,2025-07-02,Partly cloudy throughout the day with a chance of rain.,rain
