,datetime,tempmin,temp,tempmax
0,2025-06-09,13.4,14.4,15.1
1,2025-06-10,13.4,14.1,15.7
2,2025-06-11,15.7,22.4,27.8
3,2025-06-12,18.8,25.0,30.0
4,2025-06-13,15.7,18.2,21.7
5,2025-06-14,13.9,14.8,16.1
6,2025-06-15,13.4,14.8,17.3
7,2025-06-16,13.3,15.7,19.0
